exp_id,support_type,configuration,test_direction_code,mode,fit_group,candidate_channel_count,candidate_channels,auxiliary_valid_channel_count,auxiliary_valid_channels,decision_class,fft_target_estimate_hz,time_domain_estimate_median_hz,time_domain_estimate_min_hz,time_domain_estimate_max_hz,fft_time_relative_difference_median_pct,N_decay_valid_min,N_decay_valid_median,N_decay_all_min,final_adopted_frequency_hz,final_frequency_source,final_channel_or_aggregation,selection_reason,included_stiffness_baseline,included_stiffness_29_excluded_sensitivity,damping_valid_channel_count,included_damping_baseline,included_damping_29_excluded_sensitivity,included_NLI_baseline,included_NLI_29_excluded_sensitivity,auxiliary_note_counts
CA_07+13_Mid_RR,CA,CA_07+13_Mid,RR,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",1,ch_15,auxiliary-rule-supported,0.399399995804,0.401764234948,0.401764234948,0.401764234948,0.591947713773,42.6700583117,42.6700583117,38.262559538,0.3994,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,1,True,True,True,True,invalid: low_r_squared:2; invalid: method_disagreement:14; invalid: poor_band_rejection:3; quantitative:1
CA_07+13_Mid_RR,CA,CA_07+13_Mid,RR,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",7,"ch_04,ch_05,ch_07,ch_08,ch_17,ch_18,ch_19",auxiliary-rule-supported,0.341199994087,0.338328274211,0.333980506465,0.348313968074,-0.841652967645,116.054367069,332.436545199,8.69660780929,0.3412,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,3,True,True,True,True,invalid: low_r_squared:3; invalid: method_disagreement:10; quantitative:7
CA_07_A,CA,CA_07,A,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",6,"ch_05,ch_06,ch_09,ch_10,ch_13,ch_14",auxiliary-rule-supported,0.691299974918,0.69947222691,0.689809374747,0.710530055421,1.18215713695,51.4423963336,56.4381792973,3.30800863998,0.6913,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,6,True,True,False,False,fast-decay:2; invalid: low_r_squared:2; invalid: method_disagreement:3; invalid: poor_band_rejection:7; quantitative:6
CA_07_A,CA,CA_07,A,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.788800001144,,,,,,,3.62043424525,0.7888,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,fast-decay:4; invalid: low_r_squared:1; invalid: method_disagreement:12; invalid: poor_band_rejection:3
CA_07_A,CA,CA_07,A,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",6,"ch_05,ch_06,ch_09,ch_10,ch_13,ch_14",auxiliary-rule-supported,0.691299974918,0.69947222691,0.689809374747,0.710530055421,1.18215713695,51.4423963336,56.4381792973,3.30800863998,0.6913,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,6,True,True,True,True,fast-decay:2; invalid: low_r_squared:2; invalid: method_disagreement:3; invalid: poor_band_rejection:7; quantitative:6
CA_07_R,CA,CA_07,R,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",2,"ch_15,ch_19",auxiliary-rule-supported,0.691200017929,0.688651661824,0.674971300398,0.70233202325,-0.368685769533,49.9500531357,64.5972277876,3.5774992288,0.6912,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,2,True,True,False,False,fast-decay:2; invalid: low_r_squared:5; invalid: method_disagreement:6; invalid: poor_band_rejection:5; quantitative:2
CA_07_R,CA,CA_07,R,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",2,"ch_09,ch_10",auxiliary-rule-supported,0.800999999046,0.800324748219,0.800257584952,0.800391911487,-0.0843009772624,98.7946910724,98.9510102272,2.58134264693,0.801,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,2,True,True,True,True,fast-decay:2; invalid: low_r_squared:2; invalid: method_disagreement:9; invalid: poor_band_rejection:5; quantitative:2
CA_07_R,CA,CA_07,R,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",2,"ch_15,ch_19",auxiliary-rule-supported,0.691200017929,0.688651661824,0.674971300398,0.70233202325,-0.368685769533,49.9500531357,64.5972277876,3.5774992288,0.6912,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,2,True,True,True,True,fast-decay:2; invalid: low_r_squared:5; invalid: method_disagreement:6; invalid: poor_band_rejection:5; quantitative:2
CA_07_Top_A,CA,CA_07_Top,A,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",13,"ch_05,ch_06,ch_07,ch_08,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19",auxiliary-rule-supported,0.579100012779,0.569602905403,0.564031575275,0.602354755327,-1.63997706209,77.4202860785,133.69056567,4.58068110108,0.5791,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,12,True,True,False,False,fast-decay:2; invalid: low_r_squared:1; invalid: method_disagreement:4; quantitative:13
CA_07_Top_A,CA,CA_07_Top,A,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.711199998856,,,,,,,4.58389735262,0.7112,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,fast-decay:1; invalid: low_r_squared:5; invalid: method_disagreement:12; invalid: poor_band_rejection:2
