hanger_id,hanger_type,global_dof,rod_axis_global,pipe_axis_global,counterfactual_physical_direction,l_m,r_m,l_over_r,domain_status,shared_axial_K,counterfactual_direction_specific_K,K_ratio_direction_specific_over_shared,K_change_pct,shared_axial_c,counterfactual_direction_specific_c,c_ratio_direction_specific_over_shared,c_change_pct,audit_scope
OLBA10BQ026,摆_z_TB+CSBD+CSB,Ux,z,y,radial,1.905,0.039,48.8461538462,calibrated,62969.7194515,59080.966885,0.9382440862,-6.17559138003,579.236643406,656.73932812,1.13380141881,13.380141881,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ026,摆_z_TB+CSBD+CSB,Uy,z,y,axial,1.905,0.039,48.8461538462,calibrated,62969.7194515,62969.7194515,1,0,579.236643406,579.236643406,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA31BQ023,摆_z_TB+CSBD+CSB,Ux,z,x,axial,1.409,0.012,117.416666667,calibrated,116233.48579,116233.48579,1,0,968.774511902,968.774511902,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA31BQ023,摆_z_TB+CSBD+CSB,Uy,z,x,radial,1.409,0.012,117.416666667,calibrated,116233.48579,107406.504339,0.924058188647,-7.59418113528,968.774511902,1090.06260782,1.12519744732,12.5197447318,counterfactual parameter audit only; no Abaqus response calculation
OLBA31BQ022,摆_z_TB+CSBD+CSB,Ux,z,y,radial,0.908,0.012,75.6666666667,calibrated,20030.3047042,18496.3718262,0.923419393731,-7.65806062689,130.988110096,147.336534335,1.12480845955,12.4808459546,counterfactual parameter audit only; no Abaqus response calculation
OLBA31BQ022,摆_z_TB+CSBD+CSB,Uy,z,y,axial,0.908,0.012,75.6666666667,calibrated,20030.3047042,20030.3047042,1,0,130.988110096,130.988110096,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ001,摆_z_TB+CSBD+CSB,Ux,z,y,radial,2.138,0.031,68.9677419355,calibrated,49506.1255245,45789.2241015,0.924920373315,-7.50796266852,493.996432253,556.102776643,1.1257222529,12.5722252905,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ001,摆_z_TB+CSBD+CSB,Uy,z,y,axial,2.138,0.031,68.9677419355,calibrated,49506.1255245,49506.1255245,1,0,493.996432253,493.996432253,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ002,摆_z_TB+CSBD+CSB,Ux,z,y,radial,2.631,0.0175,150.342857143,calibrated,152615.447678,141634.318071,0.928047063556,-7.19529364438,1756.46215928,1980.62782801,1.12762339772,12.762339772,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ002,摆_z_TB+CSBD+CSB,Uy,z,y,axial,2.631,0.0175,150.342857143,calibrated,152615.447678,152615.447678,1,0,1756.46215928,1756.46215928,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ004,摆_z_TB+CSBD+CSB,Ux,z,y,radial,1.417,0.031,45.7096774194,calibrated,295606.099095,278628.209809,0.942565835625,-5.74341643752,2333.260654,2651.53999901,1.1364096825,13.6409682505,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ004,摆_z_TB+CSBD+CSB,Uy,z,y,axial,1.417,0.031,45.7096774194,calibrated,295606.099095,295606.099095,1,0,2333.260654,2333.260654,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ005,摆_z_TB+CSBD+CSB,Ux,z,x,axial,2.507,0.031,80.8709677419,calibrated,33594.511151,33594.511151,1,0,366.454201543,366.454201543,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA22BQ005,摆_z_TB+CSBD+CSB,Uy,z,x,radial,2.507,0.031,80.8709677419,calibrated,33594.511151,30999.8161162,0.922764316377,-7.72356836227,366.454201543,412.04455511,1.12440941699,12.4409416988,counterfactual parameter audit only; no Abaqus response calculation
OLBA32BQ024,摆_z_TB+CSBD+CSB,Ux,z,y,radial,1.394,0.012,116.166666667,calibrated,6703.31614736,6193.38985112,0.923929248594,-7.60707514057,55.5449408285,62.4946650248,1.1251189414,12.5118941396,counterfactual parameter audit only; no Abaqus response calculation
OLBA32BQ024,摆_z_TB+CSBD+CSB,Uy,z,y,axial,1.394,0.012,116.166666667,calibrated,6703.31614736,6703.31614736,1,0,55.5449408285,55.5449408285,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA32BQ022,摆_z_TB+CSBD+CSB,Ux,z,x,axial,1.297,0.0075,172.933333333,calibrated,4718.0955838,4718.0955838,1,0,38.3266456213,38.3266456213,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA32BQ022,摆_z_TB+CSBD+CSB,Uy,z,x,radial,1.297,0.0075,172.933333333,calibrated,4718.0955838,4392.32046891,0.930951989187,-6.90480108128,38.3266456213,43.2856089367,1.1293868335,12.9386833496,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ019,摆_z_TB+CSBD+CSB,Ux,z,z,radial,4.855,0.04,121.375,calibrated,2808.01429733,2595.96466377,0.924484133232,-7.55158667677,43.5090528303,48.9675570764,1.1254567473,12.5456747299,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ019,摆_z_TB+CSBD+CSB,Uy,z,z,radial,4.855,0.04,121.375,calibrated,2808.01429733,2595.96466377,0.924484133232,-7.55158667677,43.5090528303,48.9675570764,1.1254567473,12.5456747299,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ016,摆_x_TB+CSBD+CSB,Uy,x,z,radial,0.973,0.0175,55.6,calibrated,43907.4011119,40904.0529785,0.931598134771,-6.84018652285,291.382893778,329.198187551,1.12977870211,12.9778702112,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ016,摆_x_TB+CSBD+CSB,Uz,x,z,axial,0.973,0.0175,55.6,calibrated,43907.4011119,43907.4011119,1,0,291.382893778,291.382893778,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ015,摆_z_TB+CSBD+CSB,Ux,z,y,radial,3.275,0.039,83.9743589744,calibrated,120529.457864,111192.600736,0.922534645942,-7.74653540584,1505.88545795,1693.02105916,1.12426947894,12.4269478941,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ015,摆_z_TB+CSBD+CSB,Uy,z,y,axial,2.794,0.039,71.641025641,calibrated,143915.85055,143915.85055,1,0,1645.50668965,1645.50668965,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ014,摆_z_TB+CSBD+CSB,Ux,z,y,radial,3.291,0.03,109.7,calibrated,60581.8150763,55936.099085,0.923315008218,-7.6684991782,769.252332769,865.212624436,1.12474488224,12.4744882244,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ014,摆_z_TB+CSBD+CSB,Uy,z,y,axial,3.291,0.03,109.7,calibrated,60581.8150763,60581.8150763,1,0,769.252332769,769.252332769,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ013,摆_z_TB+CSBD+CSB,Ux,z,x,axial,3.172,0.039,81.3333333333,calibrated,8.95968010811,8.95968010811,1,0,0.109969869932,0.109969869932,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ013,摆_z_TB+CSBD+CSB,Uy,z,x,radial,3.172,0.039,81.3333333333,calibrated,8.95968010811,8.26730501317,0.922723234916,-7.72767650839,0.109969869932,0.123648404831,1.12438438736,12.4384387359,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ010,摆_y_TB+CSBD+CSB,Ux,y,x,axial,1.103,0.02,55.15,calibrated,320222.371713,320222.371713,1,0,2261.31440352,2261.31440352,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ010,摆_y_TB+CSBD+CSB,Uz,y,x,radial,1.103,0.02,55.15,calibrated,320222.371713,298431.600333,0.931951127388,-6.80488726115,2261.31440352,2555.26882385,1.12999272453,12.9992724529,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ006,摆_z_TB+CSBD+CSB,Ux,z,y,radial,0.953,0.02,47.65,calibrated,390600.988374,367079.432246,0.939781114672,-6.02188853278,2536.52714443,2878.27277115,1.13472973371,13.472973371,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ006,摆_z_TB+CSBD+CSB,Uy,z,y,axial,0.953,0.02,47.65,calibrated,390600.988374,390600.988374,1,0,2536.52714443,2536.52714443,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ001,摆_z_TB+CSBD+CSB,Ux,z,z,radial,2.93,0.0175,167.428571429,calibrated,19544.9510944,18181.691401,0.930250033024,-6.97499669762,238.353786072,269.092119913,1.12896096323,12.8960963227,counterfactual parameter audit only; no Abaqus response calculation
OLBC10BQ001,摆_z_TB+CSBD+CSB,Uy,z,z,radial,2.93,0.0175,167.428571429,calibrated,19544.9510944,18181.691401,0.930250033024,-6.97499669762,238.353786072,269.092119913,1.12896096323,12.8960963227,counterfactual parameter audit only; no Abaqus response calculation
