exp_id,channel_id,mode,f_target_hz,f_peakcount_hz,delta_f_over_f_target_pct,N_decay,valid,note
CA_07+13_Mid_AA,ch_01,radial,0.34209999442100525,0.34770294590851053,1.6378110432267385,220.02610318479628,False,invalid: low_r_squared
CA_07+13_Mid_AA,ch_02,radial,0.34209999442100525,0.3476498572114341,1.6222925696978858,219.79244888860674,True,quantitative
CA_07+13_Mid_AA,ch_03,radial,0.34209999442100525,0.34504737212879855,0.8615544448580457,287.3773372134268,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_04,radial,0.34209999442100525,0.34639814449706885,1.2564016796720796,114.28930323316068,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_05,radial,0.34209999442100525,0.3424756776408168,0.10981678630173812,130.85971355592906,True,quantitative
CA_07+13_Mid_AA,ch_06,radial,0.34209999442100525,0.34256231340235527,0.1351414758519597,130.85985039592683,True,quantitative
CA_07+13_Mid_AA,ch_07,radial,0.34209999442100525,0.3447545593790478,0.775961707492962,84.32210660486817,False,invalid: low_r_squared
CA_07+13_Mid_AA,ch_08,radial,0.34209999442100525,0.34493563833456753,0.8288932943017228,83.82093011304141,False,invalid: low_r_squared
CA_07+13_Mid_AA,ch_09,radial,0.34209999442100525,0.3465722593085883,1.3072975622675032,86.29321835272313,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_10,radial,0.34209999442100525,0.346646691317098,1.329054945992598,87.12828443910479,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_11,radial,0.34209999442100525,0.3921705331776272,14.636229047990756,9.220655359628797,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_12,radial,0.34209999442100525,0.3923368761353248,14.68485312294263,9.28746748853922,False,invalid: method_disagreement
CA_07+13_Mid_AA,ch_13,radial,0.34209999442100525,0.3395267482168069,-0.7521912441283437,240.93993135073183,True,quantitative
CA_07+13_Mid_AA,ch_14,radial,0.34209999442100525,0.3395020336312687,-0.7594156188553994,243.47886066932682,True,quantitative
CA_07+13_Mid_AA,ch_15,radial,0.34209999442100525,0.3723632030682729,8.846304922771866,3.10695214933157,False,fast-decay
CA_07+13_Mid_AA,ch_16,radial,0.34209999442100525,0.3888596044001625,13.668404192258635,8.953372633987664,False,invalid: method_disagreement
