exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,freq_source_status,fit_status
CSBD_13_R,planar_rotation,OTHERS,435.793,1.3,0.0125,0.5605,0.5605000257492065,both,used_in_fit
CSBD_13_R,radial,OTHERS,435.793,1.665,0.0125,0.415,0.41499999165534973,both,used_in_fit
CSB_07_A,axial,OTHERS,491.0,0.81,0.018,0.5873,0.5873000025749207,both,used_in_fit
CSB_07_A,planar_rotation,OTHERS,491.0,0.81,0.018,0.81829,0.8182899951934814,both,used_in_fit
CSB_07_A,radial,OTHERS,491.0,1.445,0.018,0.411,0.41100001335144043,both,used_in_fit
CSB_07_R,axial,OTHERS,491.0,0.81,0.018,0.5786,0.5785999894142151,both,used_in_fit
CSB_07_R,planar_rotation,OTHERS,491.0,0.81,0.018,0.82229,0.8222900032997131,both,used_in_fit
CSB_07_R,radial,OTHERS,491.0,1.445,0.018,0.4139,0.4138999879360199,both,used_in_fit
CSB_13_A,axial,OTHERS,491.0,1.41,0.018,0.4291,0.42910000681877136,both,used_in_fit
CSB_13_A,planar_rotation,OTHERS,491.0,1.41,0.018,0.69267,0.6926699876785278,both,used_in_fit
CSB_13_A,radial,OTHERS,491.0,2.045,0.018,0.3485,0.34850001335144043,both,used_in_fit
CSB_13_R,axial,OTHERS,491.0,1.41,0.018,0.4405,0.4404999911785126,both,used_in_fit
CSB_13_R,planar_rotation,OTHERS,491.0,1.41,0.018,0.69567,0.6956700086593628,both,used_in_fit
CSB_13_R,radial,OTHERS,491.0,2.045,0.018,0.3504,0.35040000081062317,both,used_in_fit
TB_07+07_MidTop_AA,axial,OTHERS,486.14,2.097,0.008,0.3652,0.365200012922287,both,used_in_fit
TB_07+07_MidTop_AA,planar_rotation,OTHERS,486.14,2.097,0.008,0.4024,0.4023999869823456,both,used_in_fit
TB_07+07_MidTop_AA,radial,OTHERS,486.14,2.487,0.008,0.3198,0.3197999894618988,both,used_in_fit
TB_07+07_MidTop_AR,axial,OTHERS,486.14,2.097,0.008,0.3594,0.3594000041484833,both,used_in_fit
TB_07+07_MidTop_AR,planar_rotation,OTHERS,486.14,2.097,0.008,0.4087,0.40869998931884766,both,used_in_fit
TB_07+07_MidTop_AR,radial,OTHERS,486.14,2.487,0.008,0.3203,0.32030001282691956,both,used_in_fit
TB_07+07_MidTop_RA,axial,OTHERS,486.14,2.097,0.008,0.3711,0.3711000084877014,both,used_in_fit
TB_07+07_MidTop_RA,planar_rotation,OTHERS,486.14,2.097,0.008,0.4099,0.4099000096321106,both,used_in_fit
TB_07+07_MidTop_RA,radial,OTHERS,486.14,2.487,0.008,0.3213,0.3212999999523163,both,used_in_fit
TB_07+07_MidTop_RR,axial,OTHERS,486.14,2.097,0.008,0.3625,0.36250001192092896,both,used_in_fit
TB_07+07_MidTop_RR,planar_rotation,OTHERS,486.14,2.097,0.008,0.4176,0.41760000586509705,both,used_in_fit
TB_07+07_MidTop_RR,radial,OTHERS,486.14,2.487,0.008,0.3216,0.3215999901294708,both,used_in_fit
TB_07+07_Mid_AA,axial,OTHERS,451.94,1.837,0.008,0.3815,0.3815000057220459,both,used_in_fit
TB_07+07_Mid_AA,planar_rotation,OTHERS,451.94,1.837,0.008,0.43,0.4300000071525574,both,used_in_fit
TB_07+07_Mid_AA,radial,OTHERS,451.94,2.227,0.008,0.334,0.33399999141693115,both,used_in_fit
TB_07+07_Mid_AR,axial,OTHERS,451.94,1.837,0.008,0.3833,0.3833000063896179,both,used_in_fit
TB_07+07_Mid_AR,planar_rotation,OTHERS,451.94,1.837,0.008,0.4297,0.42969998717308044,both,used_in_fit
TB_07+07_Mid_AR,radial,OTHERS,451.94,2.227,0.008,0.3334,0.33340001106262207,both,used_in_fit
TB_07+07_Mid_RA,axial,OTHERS,451.94,1.837,0.008,0.3872,0.3871999979019165,both,used_in_fit
TB_07+07_Mid_RA,planar_rotation,OTHERS,451.94,1.837,0.008,0.432,0.4320000112056732,both,used_in_fit
TB_07+07_Mid_RA,radial,OTHERS,451.94,2.227,0.008,0.337,0.3370000123977661,both,used_in_fit
TB_07+07_Mid_RR,axial,OTHERS,451.94,1.837,0.008,0.3868,0.38679999113082886,both,used_in_fit
