fit_group,mode,A,B,SE_A,SE_B,A_ci_lo,A_ci_hi,B_ci_lo,B_ci_hi,corr_AB,n_rows
CA,radial,272.8202265267125,-0.4045272257636224,167.53667506452055,0.1187356832088399,-55.55165659974779,601.1921096531728,-0.6372491648529486,-0.17180528667429618,-0.9961759326811669,16
CA,axial,272.8202265267125,-0.4045272257636224,167.53667506452055,0.1187356832088399,-55.55165659974779,601.1921096531728,-0.6372491648529486,-0.17180528667429618,-0.9961759326811669,16
CA,planar_rotation,26080.006566819113,-1.212851865026586,14035.043663496492,0.11060472951139837,-1428.6790136340096,53588.69214727223,-1.4296371348689267,-0.9960665951842452,-0.996791090088014,16
OTHERS,radial,30.458404940170606,-0.29338211960924776,51.63051870789819,0.3177645140282192,-70.73741172730985,131.65422160765107,-0.9162005671045574,0.3294363278860619,-0.9943580631419198,40
OTHERS,axial,4.11240411858146,0.3073568049153993,2.9711223421499846,0.13225934983528967,-1.7109956720325101,9.93580390919543,0.04812847923823155,0.5665851305925671,-0.99583850571843,40
OTHERS,planar_rotation,2080.491704387833,-0.8699041000176878,620.4283465050291,0.06689178028849901,864.4521452379761,3296.5312635376904,-1.001011989383146,-0.7387962106522298,-0.9897241456041687,40
