config_name,support_type,l_m,r_m,m_kg,f_exp_radial_hz,f_exp_axial_hz,f_exp_planar_rotation_hz,zeta_radial,zeta_axial,zeta_planar_rotation
CA_07+13_Mid_AA,CA,2.338,0.008,556.6,0.34209999442100525,0.34209999442100525,0.41179999709129333,0.002403059780482703,0.002403059780482703,nan
CA_07+13_Mid_AR,CA,2.338,0.008,556.6,0.3425000011920929,0.3425000011920929,0.4034999907016754,0.0016774590541225605,0.0016774590541225605,nan
CA_07+13_Mid_RA,CA,2.338,0.008,556.6,0.337799996137619,0.337799996137619,0.40389999747276306,0.0020726297024551516,0.0020726297024551516,nan
CA_07+13_Mid_RR,CA,2.338,0.008,556.6,0.34119999408721924,0.34119999408721924,0.399399995803833,0.001777510250683691,0.001777510250683691,0.009410146008027587
CA_07_A,CA,0.739,0.008,488.2,0.6912999749183655,0.6912999749183655,0.7888000011444092,0.007465938704127323,0.007465938704127323,nan
CA_07_R,CA,0.739,0.008,488.2,0.6912000179290771,0.6912000179290771,0.8009999990463257,0.007312222744807341,0.007312222744807341,0.003990829892360482
CA_07_Top_A,CA,0.999,0.008,556.6,0.5791000127792358,0.5791000127792358,0.7111999988555908,0.0034789471265981534,0.0034789471265981534,nan
CA_07_Top_R,CA,0.999,0.008,556.6,0.5633000135421753,0.5633000135421753,0.6606000065803528,0.012666213864982664,0.012666213864982664,nan
CA_13+07_Mid_AA,CA,2.338,0.008,556.6,0.3393999934196472,0.3393999934196472,0.4108999967575073,0.0022249279169322764,0.0022249279169322764,nan
CA_13+07_Mid_AR,CA,2.338,0.008,556.6,0.33649998903274536,0.33649998903274536,0.41200000047683716,0.0016329819987152417,0.0016329819987152417,nan
CA_13+07_Mid_RA,CA,2.338,0.008,556.6,0.33730000257492065,0.33730000257492065,0.41780000925064087,0.0017881838655267545,0.0017881838655267545,0.0025158926249448017
CA_13+07_Mid_RR,CA,2.338,0.008,556.6,0.33739998936653137,0.33739998936653137,0.4235000014305115,0.0010477694424612407,0.0010477694424612407,0.006413154761905541
CA_13_A,CA,1.339,0.008,488.2,0.4830999970436096,0.4830999970436096,0.5939000248908997,0.001978919344106031,0.001978919344106031,0.013282873047792057
CA_13_R,CA,1.339,0.008,488.2,0.4729999899864197,0.4729999899864197,0.5490000247955322,0.0019020992691584318,0.0019020992691584318,nan
CA_13_Top_A,CA,1.599,0.008,556.6,0.43459999561309814,0.43459999561309814,0.5654000043869019,0.0026224241940439818,0.0026224241940439818,nan
CA_13_Top_R,CA,1.599,0.008,556.6,0.43709999322891235,0.43709999322891235,0.5612000226974487,0.01481755458566264,0.01481755458566264,nan
CSBD_07_A,CSBD,0.7,0.0125,435.693,0.5457000136375427,0.6961899995803833,0.8521999716758728,nan,nan,nan
CSBD_07_R,CSBD,0.7,0.0125,435.693,0.5291000008583069,0.7128000259399414,0.8596000075340271,0.025958579200930403,nan,nan
CSBD_13_A,CSBD,1.3,0.0125,435.793,0.4221000075340271,0.4763000011444092,0.559499979019165,nan,nan,nan
CSBD_13_R,CSBD,1.3,0.0125,435.793,0.41499999165534973,0.477400004863739,0.5605000257492065,nan,nan,nan
CSB_07_A,CSB,0.81,0.018,491.0,0.41100001335144043,0.5873000025749207,0.5929999947547913,nan,0.0031518438046516236,0.003375146295112488
CSB_07_R,CSB,0.81,0.018,491.0,0.4138999879360199,0.5785999894142151,0.5785999894142151,0.0007459202055109341,0.007936309541699911,0.007936309541699911
CSB_13_A,CSB,1.41,0.018,491.0,0.34850001335144043,0.42910000681877136,0.46129998564720154,nan,0.001982007745608076,0.003822436599431935
CSB_13_R,CSB,1.41,0.018,491.0,0.35040000081062317,0.4404999911785126,0.4404999911785126,0.0008319970069153626,0.0008950488605449406,0.0008950488605449406
TB_07+07_MidTop_AA,TB,2.097,0.008,486.14,0.3197999894618988,0.365200012922287,0.4023999869823456,0.008303332916249665,0.01064852259691012,0.008114613831312999
TB_07+07_MidTop_AR,TB,2.097,0.008,486.14,0.32030001282691956,0.3594000041484833,0.40869998931884766,0.009734934954760827,0.011097706978173052,0.007064478248775414
TB_07+07_MidTop_RA,TB,2.097,0.008,486.14,0.3212999999523163,0.3711000084877014,0.4099000096321106,0.014960909356084703,0.01281488362840891,0.01368152900202901
TB_07+07_MidTop_RR,TB,2.097,0.008,486.14,0.3215999901294708,0.36250001192092896,0.41760000586509705,0.008226436036230335,0.016668683392910538,0.009862043322008518
TB_07+07_Mid_AA,TB,1.837,0.008,451.94,0.33399999141693115,0.3815000057220459,0.4300000071525574,0.015263261073618082,0.010339602660675497,0.009885227976703862
TB_07+07_Mid_AR,TB,1.837,0.008,451.94,0.33340001106262207,0.3833000063896179,0.42969998717308044,0.01899627074001077,0.009189356385689325,0.01047491442561977
TB_07+07_Mid_RA,TB,1.837,0.008,451.94,0.3370000123977661,0.3871999979019165,0.4320000112056732,0.019562059560602207,0.009650446687723004,0.008871049816568045
TB_07+07_Mid_RR,TB,1.837,0.008,451.94,0.3361000120639801,0.38679999113082886,0.42660000920295715,0.01969467956477632,0.01660760568812171,0.011671691123590684
TB_07+13_MidTop_AA,TB,2.697,0.008,486.14,0.28700000047683716,0.3158999979496002,0.3553999960422516,0.005354213579159865,0.0102960953765385,0.009994366826867556
TB_07+13_MidTop_AR,TB,2.697,0.008,486.14,0.28690001368522644,0.31049999594688416,0.35589998960494995,0.019087648800097553,0.009516514074191795,0.009665102332276987
TB_07+13_MidTop_RA,TB,2.697,0.008,486.14,0.28760001063346863,0.3172999918460846,0.3564999997615814,0.008490400384751998,0.008995439730545516,0.011378798824607511
TB_07+13_MidTop_RR,TB,2.697,0.008,486.14,0.28700000047683716,0.3188999891281128,0.3564999997615814,0.006528362150167908,0.016240827288986556,0.010699697405353148
TB_07+13_Mid_AA,TB,2.437,0.008,451.94,0.2953000068664551,0.32679998874664307,0.3621000051498413,0.007814192094757779,0.009677856029516912,0.008582953040409817
TB_07+13_Mid_AR,TB,2.437,0.008,451.94,0.29679998755455017,0.328000009059906,0.3621000051498413,0.015574780295425935,0.013183878100802696,0.00804410785882341
TB_07+13_Mid_RA,TB,2.437,0.008,451.94,0.30090001225471497,0.3192000091075897,0.37400001287460327,0.013646642883870339,0.0140278325376705,0.012637191908249966
TB_07+13_Mid_RR,TB,2.437,0.008,451.94,0.2989000082015991,0.3303000032901764,0.35929998755455017,0.009583082160997356,0.010873778383291198,0.008348385653646203
TB_07_R,TB,0.778,0.008,417.74,0.4677000045776367,0.609499990940094,0.6962000131607056,nan,0.013936932831195806,0.012833651273530259
TB_07_Top_A,TB,1.038,0.008,451.94,0.42559999227523804,0.5627999901771545,0.5989999771118164,0.0017504731656467997,0.01595273178319274,0.01567949571197282
TB_07_Top_R,TB,1.038,0.008,451.94,0.42239999771118164,0.5293999910354614,0.5712000131607056,nan,0.011956520587753807,0.011817397135360567
TB_13+07_MidTop_AA,TB,2.697,0.008,486.14,0.28790000081062317,0.31679999828338623,0.35580000281333923,0.0063898909391809176,0.013350584986935827,0.011546068770347202
TB_13+07_MidTop_AR,TB,2.697,0.008,486.14,0.28679999709129333,0.31470000743865967,0.35339999198913574,0.005709608810385871,0.010053714144004754,0.010875299631140574
TB_13+07_MidTop_RA,TB,2.697,0.008,486.14,0.2872999906539917,0.31679999828338623,0.35350000858306885,0.005337500669506608,0.011475018154120626,0.016020540504967207
TB_13+07_MidTop_RR,TB,2.697,0.008,486.14,0.2874000072479248,0.3133000135421753,0.35260000824928284,0.01165572725006301,0.014745089674131039,0.012071145064503937
TB_13+07_Mid_AA,TB,2.437,0.008,451.94,0.2992999851703644,0.3262999951839447,0.36070001125335693,0.010733802377545815,0.009998202185375508,0.009025202380842187
TB_13+07_Mid_AR,TB,2.437,0.008,451.94,0.2962999939918518,0.3271999955177307,0.3736000061035156,0.014680678008771274,0.011669563193184093,0.009624881055870792
TB_13+07_Mid_RA,TB,2.437,0.008,451.94,0.29809999465942383,0.33559998869895935,0.36730000376701355,0.01434056870979354,0.012258231659038464,0.011101355804379716
TB_13+07_Mid_RR,TB,2.437,0.008,451.94,0.2971999943256378,0.3305000066757202,0.37139999866485596,0.014226257862634692,0.011521693616626853,0.014713954991551526
TB_13_A,TB,1.378,0.008,417.74,0.36910000443458557,0.4456999897956848,0.4848000109195709,nan,0.00439789476375662,0.006343140414748324
TB_13_R,TB,1.378,0.008,417.74,0.37040001153945923,0.4496000111103058,0.48500001430511475,0.024456924243662276,0.011338958988732063,0.00978386823306448
TB_13_Top_A,TB,1.638,0.008,451.94,0.3517000079154968,0.4025999903678894,0.45170000195503235,nan,0.010370408833878639,0.009878824176699354
TB_13_Top_R,TB,1.638,0.008,451.94,0.35199999809265137,0.40720000863075256,0.45399999618530273,nan,0.018336231069270053,0.010174480737407851
