fit_group,mode,A,B,B_minus_1,lr_crit,lr_crit_ci_lo,lr_crit_ci_hi,notes
CA,radial,272.8202265267125,-0.4045272257636224,-1.4045272257636223,279.43892932299235,248.89403000500437,309.98382864098033,eta threshold at eta=0.1 (delta_f approx 5%)
CA,axial,272.8202265267125,-0.4045272257636224,-1.4045272257636223,279.43892932299235,248.89403000500437,309.98382864098033,eta threshold at eta=0.1 (delta_f approx 5%)
OTHERS,radial,30.458404940170606,-0.29338211960924776,-1.2933821196092476,83.2376276816981,41.210858987514285,125.26439637588192,eta threshold at eta=0.1 (delta_f approx 5%)
OTHERS,axial,4.11240411858146,0.3073568049153993,-0.6926431950846007,213.96481910848198,173.66046000734016,254.2691782096238,eta threshold at eta=0.1 (delta_f approx 5%)
