mode,support_type,exp_id,f_exp,f_pred,rel_error,pi_l
axial,TB,TB_13+07_MidTop_AA,0.3168,0.31442071891574597,-0.007510356957872661,337.125
axial,TB,TB_13+07_MidTop_AR,0.3147,0.31442071891574597,-0.0008874518088783374,337.125
axial,TB,TB_13+07_MidTop_RA,0.3168,0.31442071891574597,-0.007510356957872661,337.125
axial,TB,TB_13+07_MidTop_RR,0.3133,0.31442071891574597,0.0035771430441938843,337.125
axial,CSBD,CSBD_07_A,0.69619,0.666947615787993,-0.04200345338486186,55.99999999999999
axial,CSBD,CSBD_07_R,0.7128,0.666947615787993,-0.06432713834456649,55.99999999999999
axial,CSBD,CSBD_13_A,0.4763,0.4718592485943518,-0.009323433562141933,104.0
axial,CSBD,CSBD_13_R,0.4774,0.4718592485943518,-0.011606098461768312,104.0
axial,CSB,CSB_07_A,0.5873,0.6301653488090965,0.07298714253208995,45.00000000000001
axial,CSB,CSB_07_R,0.5786,0.6301653488090965,0.08912089320618125,45.00000000000001
axial,CSB,CSB_13_A,0.4291,0.45997991744372213,0.07196438462764426,78.33333333333333
axial,CSB,CSB_13_R,0.4405,0.45997991744372213,0.044222287045907215,78.33333333333333
planar_rotation,TB,TB_07_A,0.6965,0.6579893506515796,-0.05529167171345357,97.25
planar_rotation,TB,TB_07_R,0.6962,0.6579893506515796,-0.05488458682622873,97.25
planar_rotation,TB,TB_13_A,0.4848,0.4993870451391206,0.03008878947838401,172.24999999999997
planar_rotation,TB,TB_13_R,0.485,0.4993870451391206,0.029664010596124932,172.24999999999997
planar_rotation,TB,TB_07_Top_A,0.599,0.5713925612686154,-0.046089213241042745,129.75
planar_rotation,TB,TB_07_Top_R,0.5712,0.5713925612686154,0.00033711706690359275,129.75
planar_rotation,TB,TB_13_Top_A,0.4517,0.45855309197370314,0.015171777670363408,204.74999999999997
planar_rotation,TB,TB_13_Top_R,0.454,0.45855309197370314,0.010028836946482659,204.74999999999997
planar_rotation,TB,TB_07+07_Mid_AA,0.43,0.433909395975074,0.00909161854668373,229.625
planar_rotation,TB,TB_07+07_Mid_AR,0.4297,0.433909395975074,0.009796127472827485,229.625
planar_rotation,TB,TB_07+07_Mid_RA,0.432,0.433909395975074,0.004419898090449079,229.625
planar_rotation,TB,TB_07+07_Mid_RR,0.4266,0.433909395975074,0.017134074015644676,229.625
planar_rotation,TB,TB_07+13_Mid_AA,0.3621,0.37870728080766747,0.04586379676240677,304.625
planar_rotation,TB,TB_07+13_Mid_AR,0.3621,0.37870728080766747,0.04586379676240677,304.625
