fit_group,mode,n_configs,n_rows,n_boot,n_success,n_failed,A_median,A_ci_2p5,A_ci_97p5,B_median,B_ci_2p5,B_ci_97p5
CA,radial,6,16,2000,1998,2,282.71045508608063,16.256831603274644,16633.96395280127,-0.41495745602553497,-1.1493819759389279,0.1855074176487413
CA,axial,6,16,2000,2000,0,283.9237694308339,16.50180149989049,13521.030022161543,-0.41506316842275226,-1.1203473099864947,0.18498713420469834
CA,planar_rotation,6,16,2000,1996,4,31642.21080463905,5227.712494266233,305814.94352696155,-1.2588348834256462,-1.6756852152484427,-0.8682001499659617
OTHERS,radial,14,40,2000,2000,0,26.815873015874303,2.846503103405496e-29,231602.05082147435,-0.259977791692782,-2.1761358922640723,11.320455166867957
OTHERS,axial,14,40,2000,2000,0,4.013091029801501,0.692943808308692,24.234251808379483,0.3125698293672914,-0.021498538373128408,0.630304205840483
OTHERS,planar_rotation,14,40,2000,2000,0,2170.4634519624688,938.6510937051141,9575.28182666469,-0.8795176475110633,-1.1773099123639843,-0.7107080908368704
