mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
planar_rotation,CA_13_A,CA,1.339,0.008,167.375,58.70261573281762,26.258411768403665,24.197384823942393,0.5939,0.5102371728250965,0.5044539723974459,-0.5526875346080374,-0.587797161644794
planar_rotation,CA_13_R,CA,1.339,0.008,167.375,40.67924031787147,26.258411768403665,24.197384823942393,0.549,0.5102371728250965,0.5044539723974459,-0.3545009306167488,-0.40516625593640104
planar_rotation,CA_07_Top_A,CA,0.999,0.008,124.875,92.06399845476258,38.87047860412728,31.2200329180204,0.7112,0.5977251649702426,0.5795803218862592,-0.5777885030354506,-0.6608877146112553
planar_rotation,CA_07_Top_R,CA,0.999,0.008,124.875,67.20488326386956,38.87047860412728,31.2200329180204,0.6606,0.5977251649702426,0.5795803218862592,-0.4216122889238812,-0.5354499345614547
planar_rotation,CA_13_Top_A,CA,1.599,0.008,199.875,58.83181869379413,20.70466631440011,20.736084881259835,0.5654,0.4617534927685845,0.46184847823696573,-0.6480702658171582,-0.6475362254363356
planar_rotation,CA_13_Top_R,CA,1.599,0.008,199.875,57.137233573366515,20.70466631440011,20.736084881259835,0.5612,0.4617534927685845,0.46184847823696573,-0.6376326780362146,-0.6370827990012176
planar_rotation,CA_07+13_Mid_AA,CA,2.338,0.008,292.25,22.66838879986546,12.448728825507763,14.900334916752543,0.4118,0.3755573269147903,0.38456316018431325,-0.45083309910488006,-0.3426822237652383
planar_rotation,CA_07+13_Mid_AR,CA,2.338,0.008,292.25,20.24490631060522,12.448728825507763,14.900334916752543,0.4035,0.3755573269147903,0.38456316018431325,-0.38509328546575977,-0.2639958571234752
planar_rotation,CA_07+13_Mid_RA,CA,2.338,0.008,292.25,20.360568947129195,12.448728825507763,14.900334916752543,0.4039,0.3755573269147903,0.38456316018431325,-0.3885863966849997,-0.26817688860047967
planar_rotation,CA_07+13_Mid_RR,CA,2.338,0.008,292.25,19.065971840246753,12.448728825507763,14.900334916752543,0.3994,0.3755573269147903,0.38456316018431325,-0.3470708480105124,-0.21848542305621585
planar_rotation,CA_13+07_Mid_AA,CA,2.338,0.008,292.25,22.403216376155214,12.448728825507763,14.900334916752543,0.4109,0.3755573269147903,0.38456316018431325,-0.4443329646738794,-0.33490197717272135
planar_rotation,CA_13+07_Mid_AR,CA,2.338,0.008,292.25,22.72739479439634,12.448728825507763,14.900334916752543,0.412,0.3755573269147903,0.38456316018431325,-0.4522588735697451,-0.3443887849201983
planar_rotation,CA_13+07_Mid_RA,CA,2.338,0.008,292.25,24.45103166449831,12.448728825507763,14.900334916752543,0.4178,0.3755573269147903,0.38456316018431325,-0.49087101941867334,-0.39060506234642467
planar_rotation,CA_13+07_Mid_RR,CA,2.338,0.008,292.25,26.168426276256785,12.448728825507763,14.900334916752543,0.4235,0.3755573269147903,0.38456316018431325,-0.5242843916524403,-0.43059873912739033
planar_rotation,TB_07_A,TB,0.778,0.008,97.25,56.631173337393335,54.32819782526336,38.805444896278345,0.6965,0.69164528714656,0.6579893506515796,-0.04066621573262248,-0.31476883473549244
planar_rotation,TB_07_R,TB,0.778,0.008,97.25,56.48839258043247,54.32819782526336,38.805444896278345,0.6962,0.69164528714656,0.6579893506515796,-0.03824139184157628,-0.3130368360008792
planar_rotation,TB_13_A,TB,1.378,0.008,172.24999999999997,18.69444486439969,25.26806133573089,23.60053836474409,0.4848,0.5042489309549065,0.4993870451391206,0.35163475133992933,0.2624359019982027
planar_rotation,TB_13_R,TB,1.378,0.008,172.24999999999997,18.760727996972225,25.26806133573089,23.60053836474409,0.485,0.5042489309549065,0.4993870451391206,0.34685931909512674,0.25797561632751975
planar_rotation,TB_07_Top_A,TB,1.038,0.008,129.75,41.39982486160791,36.92737671210806,30.197099438448888,0.599,0.5881337513155975,0.5713925612686154,-0.10803060555087939,-0.270598377181732
planar_rotation,TB_07_Top_R,TB,1.038,0.008,129.75,30.12081668642949,36.92737671210806,30.197099438448888,0.5712,0.5881337513155975,0.5713925612686154,0.22597528136563336,0.0025325592202075594
planar_rotation,TB_13_Top_A,TB,1.638,0.008,204.74999999999997,18.143135883378154,20.04722025460432,20.305927836130998,0.4517,0.45773874531906666,0.45855309197370314,0.10494791988911871,0.11920717381245474
planar_rotation,TB_13_Top_R,TB,1.638,0.008,204.74999999999997,18.86537037566184,20.04722025460432,20.305927836130998,0.454,0.45773874531906666,0.45855309197370314,0.06264652404954532,0.07635988224899189
planar_rotation,TB_07+07_Mid_AA,TB,1.837,0.008,229.625,17.207352139272903,17.19389331855494,18.37831704882393,0.43,0.42995485960747415,0.433909395975074,-0.0007821552443994919,0.06805026712265023
