group,mode,n_rows,cv_scheme,full_R2,cv_R2,full_RMSE_Hz,cv_RMSE_Hz
CA,radial,16,5-fold,0.9964697698821395,0.9947804742169896,0.007351533146272016,0.008939061710500846
CA,axial,16,5-fold,0.9964697698821395,0.9947804742169896,0.007351533146272016,0.008939061710500846
CA,planar_rotation,16,5-fold,0.9736938348050928,0.9683395301109639,0.022644424036140334,0.024842264723465655
OTHERS,radial,40,5-fold,0.9740379781530862,0.9731062492732031,0.010950728689751369,0.011145497307140567
OTHERS,axial,40,5-fold,0.9777984350396345,0.97735235995443,0.01665309201793006,0.016819557446341633
OTHERS,planar_rotation,40,5-fold,0.9747124981609363,0.9674529191737805,0.02506758854976907,0.028439084737462296
